City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
oyama,20,JP,1554165578,80,36.31,139.8,48.99,9.17
teknaf,0,BD,1554165646,94,20.86,92.31,70.6,2.68
sedalia,1,US,1554165527,54,38.7,-93.23,53.01,5.82
somerset east,0,ZA,1554165647,80,-32.72,25.59,40.9,2.68
awjilah,0,LY,1554165490,48,29.14,21.3,57.1,10.4
chimbote,12,PE,1554165471,91,-9.08,-78.59,69.52,8.84
beaumont,90,US,1554165608,58,30.09,-94.1,55.4,3.36
padang,20,ID,1554163200,88,-0.92,100.36,77.0,2.24
ukiah,92,US,1554165454,60,39.15,-123.21,64.99,3.0
warrington,75,GB,1554165423,76,53.39,-2.59,50.0,10.29
sangueya,0,GN,1554165648,69,10.7,-14.37,79.42,7.61
nantucket,1,US,1554165615,27,41.28,-70.1,42.01,8.05
saint-augustin,0,FR,1554165379,81,44.83,-0.61,55.99,4.7
kurilsk,32,RU,1554165648,97,45.23,147.88,27.49,12.3
jinchang,80,CN,1554165649,61,38.52,102.19,29.2,4.14
caldwell,75,US,1554165508,44,43.67,-116.69,60.8,3.36
mungwi,64,ZM,1554165649,99,-10.17,31.37,62.68,1.79
port hardy,20,CA,1554163200,44,50.7,-127.42,59.0,4.7
the pas,40,CA,1554163200,74,53.82,-101.24,33.8,13.87
suntar,24,RU,1554165650,66,62.16,117.65,26.05,7.49
anadyr,75,RU,1554165147,99,64.73,177.51,32.0,26.84
urdoma,0,RU,1554165650,93,61.74,48.55,22.45,6.6
wadi maliz,80,TN,1554163200,100,36.47,8.55,48.2,4.7
port talbot,75,GB,1554165616,93,51.6,-3.79,48.99,9.17
lahij,0,YE,1554165651,95,13.06,44.88,63.4,1.9
chake chake,76,TZ,1554165651,100,-5.25,39.77,80.41,3.58
sindor,8,RU,1554165651,73,62.87,51.9,21.28,8.84
comodoro rivadavia,0,AR,1554163200,49,-45.87,-67.48,69.8,13.87
werda,0,DE,1554165641,59,50.44,12.3,39.99,6.93
auki,0,NG,1554165474,43,12.18,6.51,71.23,4.36
nador,0,MA,1554163200,82,35.17,-2.93,55.4,3.36
omutninsk,0,RU,1554165652,67,58.67,52.18,13.72,4.7
bilma,0,NE,1554165652,33,18.69,12.92,65.29,2.8
chapais,90,CA,1554164460,73,49.78,-74.86,23.0,9.17
fuglebjerg,0,DK,1554165640,76,55.31,11.55,39.99,10.29
high level,75,CA,1554163200,64,58.52,-117.13,37.4,11.41
sanchursk,0,RU,1554165653,77,56.94,47.25,23.89,4.92
kedougou,92,SN,1554165654,35,12.56,-12.19,85.0,5.14
narsaq,92,GL,1554162600,58,60.91,-46.05,24.8,4.7
sisimiut,36,GL,1554165655,100,66.94,-53.67,9.13,4.14
sinnamary,92,GF,1554165460,96,5.38,-52.96,79.78,10.4
inhambupe,64,BR,1554165655,93,-11.79,-38.36,75.37,5.48
havre-saint-pierre,90,CA,1554164520,68,50.23,-63.6,26.6,23.04
cantagallo,92,CO,1554165656,86,7.38,-73.91,78.97,0.34
stony plain,75,CA,1554165602,56,53.53,-114.0,45.0,12.75
broome,8,GB,1554165427,93,52.47,1.45,42.01,3.36
hofn,0,IS,1554165656,100,64.25,-15.21,34.33,18.34
kruisfontein,80,ZA,1554165471,87,-34.0,24.73,55.75,4.25
hualmay,24,PE,1554165476,82,-11.1,-77.61,69.07,6.15
nago,0,IT,1554165647,61,45.88,10.89,59.0,5.82
pavino,0,RU,1554163200,86,55.02,82.61,28.4,8.95
awbari,0,LY,1554165501,37,26.59,12.77,61.51,6.71
hervey bay,40,AU,1554165638,51,-25.3,152.85,84.0,17.22
arkhangelsk,20,RU,1554163200,68,64.54,40.54,24.8,6.71
adrar,0,DZ,1554163200,39,27.87,-0.29,66.2,11.41
santa isabel do rio negro,12,BR,1554165657,91,-0.41,-65.02,79.87,2.35
izumo,40,JP,1554163200,70,35.37,132.75,44.6,3.36
thunder bay,90,CA,1554165353,47,48.41,-89.26,37.99,5.82
zhuanghe,92,CN,1554165658,77,39.7,122.97,42.07,4.7
karabuk,56,TR,1554165658,96,41.2,32.63,32.89,1.68
camalu,0,MX,1554165371,25,30.85,-116.07,73.03,5.59
alibag,20,IN,1554163200,78,18.64,72.88,78.8,5.82
soure,48,PT,1554165497,100,40.06,-8.63,54.0,2.24
mehamn,88,NO,1554165499,86,71.03,27.85,29.38,13.2
conceicao do araguaia,44,BR,1554165659,95,-8.26,-49.26,75.55,4.36
pawayan,0,IN,1554165659,67,28.07,80.1,64.48,2.91
yarmouth,0,GB,1554165616,87,50.71,-1.5,42.8,1.12
saint-paul,0,FR,1554165611,45,45.22,1.9,52.0,6.93
rocha,12,UY,1554165496,88,-34.48,-54.34,67.0,7.05
sept-iles,40,CA,1554165500,41,50.2,-66.38,25.0,14.99
bathsheba,40,BB,1554163200,73,13.22,-59.52,77.0,16.11
gornyak,0,KZ,1554165660,82,51.0,81.46,27.85,2.8
takoradi,32,GH,1554165661,100,4.89,-1.75,82.12,8.28
shaowu,80,CN,1554165661,89,27.34,117.49,53.23,2.57
hikari,75,JP,1554165391,57,33.97,131.95,50.0,4.7
radeberg,0,DE,1554165616,64,51.12,13.92,37.0,8.05
fortuna foothills,1,US,1554165483,8,32.66,-114.41,88.0,4.36
gayny,0,RU,1554165662,81,60.3,54.33,20.2,7.94
reconquista,32,AR,1554165662,89,-29.14,-59.64,73.93,5.93
nicolas de pierola,75,PE,1554165603,83,-11.95,-76.7,71.6,11.41
agirish,0,RU,1554165664,76,61.92,63.02,26.23,8.16
sao felix do xingu,68,BR,1554165608,84,-6.64,-51.99,79.33,2.57
samana,0,EC,1554159600,74,0.12,-76.97,84.2,3.36
tornio,0,FI,1554165223,68,61.12,27.27,32.0,8.05
cairns,75,AU,1554165354,94,-16.92,145.77,77.0,11.41
shirokiy,80,RU,1554165356,88,53.87,39.17,30.99,12.08
kalakamati,0,BW,1554165664,43,-20.59,27.31,68.71,11.86
novyy urengoy,56,RU,1554165665,86,66.08,76.63,23.26,7.72
altamira,48,BR,1554165603,89,-3.2,-52.21,78.52,2.68
palmer,1,US,1554165184,34,61.6,-149.11,52.0,4.7
henties bay,0,NA,1554163332,85,-22.12,14.28,61.0,1.01
atambua,20,ID,1554165666,100,-9.11,124.89,79.96,2.91
mount isa,0,AU,1554163200,41,-20.73,139.49,78.8,11.41
kuntaur,0,GM,1554165666,42,13.67,-14.89,83.02,6.6
lima,75,PE,1554165303,83,-12.06,-77.04,71.6,11.41
egvekinot,20,RU,1554165572,93,66.32,-179.17,29.65,3.24
cuamba,8,MZ,1554165667,79,-14.8,36.54,62.41,2.91
serenje,12,ZM,1554165667,66,-13.23,30.22,61.42,5.7
quzhou,44,CN,1554165667,72,28.97,118.86,51.79,3.69
vetluzhskiy,0,RU,1554165667,75,58.39,45.47,16.69,2.68
mama,20,MX,1554165092,54,20.48,-89.36,82.4,6.93
kavieng,92,PG,1554165268,95,-2.57,150.8,85.36,9.06
paracuru,40,BR,1554165487,88,-3.41,-39.03,77.0,5.82
cordoba,92,CO,1554165557,97,5.59,-73.79,54.94,2.35
buraydah,40,SA,1554163200,41,26.33,43.97,59.0,8.05
palana,0,RU,1554165424,69,59.08,159.95,35.5,4.92
hearst,88,CA,1554165668,69,49.69,-83.67,31.18,5.7
aksu,0,KZ,1554163200,93,52.04,76.93,35.6,2.24
ketchikan,1,US,1554162960,50,55.34,-131.65,64.4,20.8
ocu,48,PA,1554165121,99,7.95,-80.78,84.0,2.68
akdepe,0,TM,1554163200,62,42.05,59.39,51.8,16.11
yangambi,76,CD,1554165669,95,0.77,24.47,76.0,2.35
tres arroyos,0,AR,1554165670,50,-38.38,-60.28,73.57,11.74
xingtai,0,CN,1554165670,40,37.07,114.49,49.72,4.14
quatre cocos,20,MU,1554165542,88,-20.21,57.76,75.99,3.36
visby,8,SE,1554165168,92,57.64,18.3,33.01,9.17
macapa,40,BR,1554163200,100,0.05,-51.07,80.6,5.82
boende,32,CD,1554165671,89,-0.28,20.88,77.71,3.36
prince rupert,1,CA,1554163200,53,54.32,-130.32,64.4,9.17
deputatskiy,0,RU,1554165671,79,69.3,139.9,9.13,5.14
qostanay,0,KZ,1554163200,87,53.17,63.58,32.0,6.71
isangel,76,VU,1554165672,99,-19.55,169.27,81.22,11.07
vila velha,40,BR,1554165487,88,-3.71,-38.6,77.0,5.82
olinda,90,EC,1554165302,83,-2.03,-79.75,79.0,6.93
sidi ali,0,DZ,1554165439,93,36.1,0.42,47.38,2.68
provideniya,75,RU,1554163200,74,64.42,-173.23,33.8,6.71
broken hill,0,AU,1554163200,37,-31.97,141.45,69.8,11.41
malinovskiy,0,RU,1554165463,73,54.15,34.53,27.4,9.28
auraiya,0,IN,1554165674,61,26.47,79.52,63.94,2.91
tulun,0,RU,1554165674,78,54.56,100.58,22.63,2.35
esil,0,KZ,1554165674,90,51.96,66.41,30.82,9.17
chipinge,0,ZW,1554165674,90,-20.19,32.62,59.98,2.57
buin,0,CL,1554165468,56,-33.73,-70.74,75.0,4.7
lakatoro,68,VU,1554165675,89,-16.11,167.42,83.2,8.16
zhangjiakou,0,CN,1554165675,60,40.77,114.88,28.3,4.14
polkowice,0,PL,1554165492,65,51.5,16.07,36.0,5.99
bangkalan,20,ID,1554163200,94,-7.05,112.74,78.8,1.12
puerto escondido,20,MX,1554162600,69,15.86,-97.07,82.4,8.05
kostelec nad orlici,0,CZ,1554165614,47,50.12,16.21,37.4,5.82
laguna de perlas,88,NI,1554165676,96,12.34,-83.67,80.05,11.63
soller,0,DE,1554165663,70,50.73,6.56,48.99,2.24
vestmanna,56,FO,1554162600,100,62.16,-7.17,33.8,1.12
ashland,1,US,1554165441,33,38.48,-82.64,46.0,2.35
